(0.10531718612792598, 204397.353620917)
(0.010103628233648663, 204397.357220808)
(0.0, 204397.366011881)
(-0.00993037948522938, 204397.368923365)
(-0.030406893619842702, 204397.374100656)
(-0.020004028746171982, 204397.38064109)
(-0.04973174830923406, 204397.38340963)
(-0.01973223924226203, 204397.387258074)
(0.0, 204397.391813218)
(0.04015472676930981, 204397.396390614)
(0.06149346980614989, 204397.402610743)
(0.5375617762169931, 204397.410295352)
(2.346863864161653, 204397.411720777)
(2.061965316589989, 204397.416553855)
(1.0206082215783447, 204397.421537496)
(3.632208015690738, 204397.425862503)
(42.63738214787376, 204397.429861181)
(52.24916893567527, 204397.435855137)
(60.10124117686861, 204397.440691813)
(54.3225859608372, 204397.444394799)
(50.80333505009343, 204397.449607035)
(43.23702517959765, 204397.452243124)
(48.281473366262496, 204397.457595294)
(36.8731592554888, 204397.460467731)
(29.17710926882625, 204397.468036685)
(21.01708813481204, 204397.472143637)
(31.25686022211287, 204397.475228275)
(19.012199820286327, 204397.478548477)
(11.78641779560059, 204397.484673076)
(14.307342349959224, 204397.494498191)
(48.943669806078034, 204397.498349138)
(60.53762646173328, 204397.501835786)
(65.75371649040864, 204397.505004341)
(66.01597426465075, 204397.510233776)
(68.2372026467437, 204397.513210424)
(75.71960306392648, 204397.516947075)
(81.03072044931199, 204397.520983842)
(83.13387564392409, 204397.525799171)
(82.86190497160223, 204397.533690027)
(82.88598502182751, 204397.539455428)
(85.24561392432892, 204397.543024248)
(85.9839279733824, 204397.545726615)
(81.34986158624216, 204397.557109408)
(67.52045957820046, 204397.560655877)
(56.73243539888734, 204397.565204451)
(49.09253481501621, 204397.568822776)
(40.15543243618803, 204397.5768587)
(7.867730360380425, 204397.580040776)
(-0.08105374155205367, 204397.587680637)
(-1.2608859634646539, 204397.590372188)
(-1.2810979667249975, 204397.597070288)
(-1.346796981989364, 204397.605258233)
(-1.3729071814217348, 204397.609578445)
(-1.4054839942351212, 204397.6151299)
(1.103482274958873, 204397.619254443)
(43.16980102348697, 204397.624295748)
(59.441350402792594, 204397.631289878)
(60.689430075027026, 204397.63492085)
(59.16293025037931, 204397.640078291)
(54.420625734087864, 204397.642944975)
(55.1272419363939, 204397.64885935)
(53.172961422418965, 204397.651167958)
(62.83787505912763, 204397.657351242)
(67.31444008478039, 204397.660079854)
(73.95725474027174, 204397.664984875)
(85.72469321819935, 204397.668871367)
(87.26068653393445, 204397.673837022)
(79.54278365502098, 204397.679242063)
(76.09347508530529, 204397.682187281)
(71.76669788213684, 204397.68694452)
(63.173892356599836, 204397.691584148)
(58.81672862349923, 204397.697503754)
(60.161057461777375, 204397.701805691)
